"CASE_ID","CASE_PARTICIPANT_ID","RECEIVED_DATE","OFFENSE_CATEGORY","DIVERSION_PROGRAM","REFERRAL_DATE","DIVERSION_COUNT","PRIMARY_CHARGE_OFFENSE_TITLE","STATUTE","RACE","GENDER","DIVERSION_RESULT","DIVERSION_CLOSED_DATE"
"374,607,155,745","5,046,596,977,011","2018 Jul 10 12:00:00 AM","Aggravated Battery Police Officer","MHC","2021 Jan 04 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Black","Female","Failed","2022 Apr 12 12:00:00 AM"
"382,010,089,864","5,200,901,143,696","2019 Dec 04 12:00:00 AM","Aggravated Battery Police Officer","MHC","2021 Jan 04 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Asian","Male",,
"384,815,272,704","5,265,243,623,303","2020 Aug 12 12:00:00 AM","Narcotics","DDPP","2021 Jan 04 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","White","Male","Graduated","2021 Feb 17 12:00:00 AM"
"385,733,675,594","5,286,843,328,449","2020 Oct 30 12:00:00 AM","UUW - Unlawful Use of Weapon","MHC","2021 Jan 04 12:00:00 AM","1","AGGRAVATED UNLAWFUL USE OF WEAPON","720 ILCS 5/24-1.6(a)(1)","Black","Female","Failed","2024 Oct 22 12:00:00 AM"
"386,082,219,944","5,294,658,719,918","2020 Dec 04 12:00:00 AM","UUW - Unlawful Use of Weapon","RJCC","2021 Jan 04 12:00:00 AM","1","AGG UUW/LOADED/NO FCCA/FOID","720 ILCS 5/24-1.6(a)(1)","Black","Male","Graduated","2021 Aug 19 12:00:00 AM"
"386,355,293,097","5,300,981,880,834","2020 Sep 20 12:00:00 AM","Retail Theft","DC","2021 Jan 05 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","Black","Female",,
"381,335,311,061","5,186,168,134,482","2019 Oct 15 12:00:00 AM","Narcotics","DC","2021 Jan 06 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","White","Male","Failed","2023 Dec 20 12:00:00 AM"
"384,509,053,418","5,257,745,939,675","2020 Jul 13 12:00:00 AM","Possession of Stolen Motor Vehicle","BR9","2021 Jan 06 12:00:00 AM","1","POSSESSION OF A STOLEN MOTOR VEHICLE","625 ILCS 5/4-103(a)(1)","Latinx","Female","Failed","2021 Apr 21 12:00:00 AM"
"385,600,071,176","5,283,723,260,340","2020 Oct 20 12:00:00 AM","Burglary","BR9","2021 Jan 06 12:00:00 AM","1","BURGLARY","720 ILCS 5/19-1(a)","White","Female","Failed","2022 Feb 09 12:00:00 AM"
"386,059,017,650","5,294,112,417,412","2020 Dec 02 12:00:00 AM","Narcotics","BR9","2021 Jan 06 12:00:00 AM","2","[POSSESSION OF CANNABIS WITH INTENT TO DELIVER/DELIVERY OF CANNABIS]","720 ILCS 550/5(c)","White","Male",,
"379,450,570,873","5,145,683,078,280","2019 Jun 11 12:00:00 AM","Narcotics","DDPP","2021 Jan 07 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Female",,
"389,570,723,091","5,373,182,371,254","2021 Apr 07 12:00:00 AM","Retail Theft","BR9","2021 Jan 07 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","White","Male","Failed","2021 Nov 03 12:00:00 AM"
"357,502,985,550","4,678,245,178,744","2015 Mar 01 12:00:00 AM","Possession of Stolen Motor Vehicle","MHC","2021 Jan 08 12:00:00 AM","1","POSSESSION OF A STOLEN MOTOR VEHICLE","625 ILCS 5/4-103(a)(1)","White","Male",,
"364,586,696,900","4,829,319,684,720","2016 Jun 22 12:00:00 AM","Theft","MHC","2021 Jan 08 12:00:00 AM","1","THEFT","720 ILCS 5/16-1(a)(4)","White","Male","Graduated","2022 Jun 24 12:00:00 AM"
"364,873,665,931","4,835,714,246,875","2016 Jun 22 12:00:00 AM","Possession of Stolen Motor Vehicle","MHC","2021 Jan 08 12:00:00 AM","1","POSSESSION OF A STOLEN MOTOR VEHICLE","625 ILCS 5/4-103(a)(1)","White","Male","Graduated","2022 Jun 24 12:00:00 AM"
"378,950,956,641","5,135,254,069,353","2019 May 08 12:00:00 AM","Narcotics","DC","2021 Jan 08 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male","Failed","2023 Apr 12 12:00:00 AM"
"378,951,084,126","5,135,255,176,349","2019 May 08 12:00:00 AM","Narcotics","DC","2021 Jan 08 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male","Failed","2023 Apr 12 12:00:00 AM"
"386,113,453,802","5,295,355,020,376","2020 Dec 07 12:00:00 AM","Narcotics","DDPP","2021 Jan 08 12:00:00 AM","1","[POSSESSION OF CANNABIS WITH INTENT TO DELIVER/DELIVERY OF CANNABIS]","720 ILCS 550/5(d)","Black","Male","Graduated","2021 Jan 08 12:00:00 AM"
"371,777,240,789","4,986,213,668,451","2017 Dec 13 12:00:00 AM","UUW - Unlawful Use of Weapon","VC","2021 Jan 11 12:00:00 AM","1","POSS FIREARM FOID REVOKED","430 ILCS 65/2(a)(1)","White","Male",,
"382,271,434,384","5,206,769,329,274","2019 Dec 18 12:00:00 AM","Narcotics","DC","2021 Jan 11 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","White","Male",,
"380,581,109,022","5,170,281,081,980","2019 Aug 27 12:00:00 AM","Narcotics","SEED","2021 Jan 12 12:00:00 AM","1","[POSSESSION OF CANNABIS WITH INTENT TO DELIVER/DELIVERY OF CANNABIS]","720 ILCS 550/5(d)","Latinx","Male",,
"381,698,643,687","5,193,912,124,711","2019 Nov 11 12:00:00 AM","Aggravated Battery Police Officer","MHC","2021 Jan 12 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Latinx","Female",,
"382,514,676,016","5,212,137,152,677","2020 Jan 10 12:00:00 AM","Narcotics","SEED","2021 Jan 12 12:00:00 AM","1","[POSSESSION OF CANNABIS WITH INTENT TO DELIVER/DELIVERY OF CANNABIS]","720 ILCS 550/5(c)","Black","Male","Failed","2021 Feb 23 12:00:00 AM"
"374,700,984,802","5,048,504,331,048","2016 Feb 04 12:00:00 AM","Theft","BR9","2021 Jan 13 12:00:00 AM","1","THEFT","720 ILCS 5/16-1(a)(2)(A)","White","Male","Graduated","2022 Jan 26 12:00:00 AM"
